,city_id,city,state
0,1,Miami,Florida
1,2,Chicago,Illinois
2,3,Buffalo,New York
3,4,Miami,Florida
4,5,Chicago,Illinois
5,6,Buffalo,New York
6,7,Orlando,Florida
7,8,Miami,Florida
8,9,Los Angeles,California
9,10,Los Angeles,California
10,11,New York City,New York
11,12,New York City,New York
12,13,Orlando,Florida
13,14,Orlando,Florida
14,15,Orlando,Florida
15,16,Springfield,Illinois
16,17,Springfield,Illinois
17,18,Rochester,New York
18,19,Rochester,New York
19,20,Dallas,Texas
20,21,San Diego,California
21,22,San Diego,California
22,23,San Diego,California
23,24,Rochester,New York
24,25,Rochester,New York
25,26,Rochester,New York
26,27,Austin,Texas
27,28,New York City,New York
28,29,San Francisco,California
29,30,San Francisco,California
30,31,Columbus,Ohio
31,32,Orlando,Florida
32,33,Orlando,Florida
33,34,San Diego,California
34,35,Cincinnati,Ohio
35,36,San Diego,California
36,37,Cincinnati,Ohio
37,38,Orlando,Florida
38,39,Orlando,Florida
39,40,San Francisco,California
40,41,San Francisco,California
41,42,San Francisco,California
42,43,Cleveland,Ohio
43,44,Rochester,New York
44,45,Los Angeles,California
45,46,Cleveland,Ohio
46,47,Rochester,New York
47,48,Los Angeles,California
48,49,San Diego,California
49,50,Cincinnati,Ohio
50,51,Austin,Texas
51,52,Dallas,Texas
52,53,San Diego,California
53,54,Cincinnati,Ohio
54,55,Austin,Texas
55,56,Dallas,Texas
56,57,Cincinnati,Ohio
57,58,Miami,Florida
58,59,Orlando,Florida
59,60,Houston,Texas
60,61,Orlando,Florida
61,62,Houston,Texas
62,63,Orlando,Florida
63,64,Houston,Texas
64,65,Buffalo,New York
65,66,Buffalo,New York
66,67,Buffalo,New York
67,68,Cleveland,Ohio
68,69,Los Angeles,California
69,70,Cleveland,Ohio
70,71,Los Angeles,California
71,72,Cleveland,Ohio
72,73,Los Angeles,California
73,74,Cleveland,Ohio
74,75,Los Angeles,California
75,76,Miami,Florida
76,77,Miami,Florida
77,78,Tampa,Florida
78,79,Buffalo,New York
79,80,San Diego,California
80,81,San Diego,California
81,82,San Diego,California
82,83,San Diego,California
83,84,Buffalo,New York
84,85,Cleveland,Ohio
85,86,Buffalo,New York
86,87,Cleveland,Ohio
87,88,New York City,New York
88,89,New York City,New York
89,90,Springfield,Illinois
