,date_id,order_date,year,month,day
0,1,2023-06-27,2023,6,27
1,2,2024-12-27,2024,12,27
2,3,2021-07-25,2021,7,25
3,4,2023-06-27,2023,6,27
4,5,2024-12-27,2024,12,27
5,6,2021-07-25,2021,7,25
6,7,2024-05-11,2024,5,11
7,8,2021-10-09,2021,10,9
8,9,2022-11-18,2022,11,18
9,10,2022-11-18,2022,11,18
10,11,2023-11-12,2023,11,12
11,12,2020-03-23,2020,3,23
12,13,2020-05-04,2020,5,4
13,14,2020-05-04,2020,5,4
14,15,2020-05-04,2020,5,4
15,16,2023-11-09,2023,11,9
16,17,2023-11-09,2023,11,9
17,18,2024-12-30,2024,12,30
18,19,2024-12-30,2024,12,30
19,20,2025-02-11,2025,2,11
20,21,2024-01-23,2024,1,23
21,22,2020-11-28,2020,11,28
22,23,2020-11-28,2020,11,28
23,24,2024-05-30,2024,5,30
24,25,2024-05-30,2024,5,30
25,26,2024-05-30,2024,5,30
26,27,2022-01-23,2022,1,23
27,28,2021-12-17,2021,12,17
28,29,2023-02-03,2023,2,3
29,30,2022-10-30,2022,10,30
30,31,2022-01-15,2022,1,15
31,32,2023-12-14,2023,12,14
32,33,2023-12-14,2023,12,14
33,34,2023-07-03,2023,7,3
34,35,2021-05-08,2021,5,8
35,36,2023-07-03,2023,7,3
36,37,2021-05-08,2021,5,8
37,38,2022-10-07,2022,10,7
38,39,2022-10-07,2022,10,7
39,40,2024-08-06,2024,8,6
40,41,2024-08-06,2024,8,6
41,42,2024-08-06,2024,8,6
42,43,2022-01-05,2022,1,5
43,44,2020-10-17,2020,10,17
44,45,2023-08-21,2023,8,21
45,46,2022-01-05,2022,1,5
46,47,2020-10-17,2020,10,17
47,48,2023-08-21,2023,8,21
48,49,2024-12-27,2024,12,27
49,50,2021-06-18,2021,6,18
50,51,2023-05-27,2023,5,27
51,52,2021-10-12,2021,10,12
52,53,2024-12-27,2024,12,27
53,54,2021-06-18,2021,6,18
54,55,2023-05-27,2023,5,27
55,56,2021-10-12,2021,10,12
56,57,2022-09-19,2022,9,19
57,58,2022-03-25,2022,3,25
58,59,2022-02-26,2022,2,26
59,60,2021-04-05,2021,4,5
60,61,2022-02-26,2022,2,26
61,62,2021-04-05,2021,4,5
62,63,2022-02-26,2022,2,26
63,64,2021-04-05,2021,4,5
64,65,2020-11-16,2020,11,16
65,66,2020-11-16,2020,11,16
66,67,2020-11-16,2020,11,16
67,68,2024-12-12,2024,12,12
68,69,2023-04-06,2023,4,6
69,70,2024-12-12,2024,12,12
70,71,2023-04-06,2023,4,6
71,72,2024-12-12,2024,12,12
72,73,2023-04-06,2023,4,6
73,74,2024-12-12,2024,12,12
74,75,2023-04-06,2023,4,6
75,76,2024-01-28,2024,1,28
76,77,2024-01-28,2024,1,28
77,78,2022-01-16,2022,1,16
78,79,2022-12-16,2022,12,16
79,80,2023-07-13,2023,7,13
80,81,2023-07-13,2023,7,13
81,82,2023-07-13,2023,7,13
82,83,2023-07-13,2023,7,13
83,84,2025-03-10,2025,3,10
84,85,2024-09-24,2024,9,24
85,86,2025-03-10,2025,3,10
86,87,2024-09-24,2024,9,24
87,88,2020-04-13,2020,4,13
88,89,2020-04-13,2020,4,13
89,90,2022-06-27,2022,6,27
90,91,2021-03-14,2021,3,14
91,92,2022-02-23,2022,2,23
92,93,2022-03-29,2022,3,29
93,94,2022-11-20,2022,11,20
94,95,2021-11-12,2021,11,12
95,96,2021-11-12,2021,11,12
96,97,2021-08-17,2021,8,17
97,98,2022-05-16,2022,5,16
98,99,2023-07-16,2023,7,16
99,100,2023-07-16,2023,7,16
100,101,2023-07-16,2023,7,16
101,102,2020-08-18,2020,8,18
102,103,2022-04-19,2022,4,19
103,104,2022-12-23,2022,12,23
104,105,2024-12-07,2024,12,7
105,106,2022-02-03,2022,2,3
106,107,2021-12-12,2021,12,12
107,108,2022-02-03,2022,2,3
108,109,2021-12-12,2021,12,12
109,110,2022-02-03,2022,2,3
110,111,2021-12-12,2021,12,12
111,112,2020-05-17,2020,5,17
112,113,2022-12-05,2022,12,5
113,114,2024-09-17,2024,9,17
114,115,2022-12-05,2022,12,5
115,116,2024-09-17,2024,9,17
116,117,2023-05-08,2023,5,8
117,118,2021-03-03,2021,3,3
118,119,2021-03-18,2021,3,18
119,120,2023-04-24,2023,4,24
120,121,2021-10-09,2021,10,9
121,122,2022-04-15,2022,4,15
122,123,2022-08-29,2022,8,29
123,124,2021-10-09,2021,10,9
124,125,2022-04-15,2022,4,15
125,126,2022-08-29,2022,8,29
126,127,2024-09-04,2024,9,4
127,128,2021-05-18,2021,5,18
128,129,2024-09-04,2024,9,4
129,130,2021-05-18,2021,5,18
130,131,2024-07-02,2024,7,2
131,132,2024-07-02,2024,7,2
132,133,2024-07-02,2024,7,2
133,134,2024-07-02,2024,7,2
134,135,2024-02-16,2024,2,16
135,136,2024-02-16,2024,2,16
136,137,2021-11-26,2021,11,26
137,138,2021-11-26,2021,11,26
138,139,2021-11-26,2021,11,26
139,140,2024-02-01,2024,2,1
140,141,2021-09-09,2021,9,9
141,142,2021-09-08,2021,9,8
142,143,2024-02-01,2024,2,1
143,144,2021-09-09,2021,9,9
144,145,2021-09-08,2021,9,8
145,146,2024-07-09,2024,7,9
146,147,2024-07-09,2024,7,9
147,148,2024-07-09,2024,7,9
148,149,2024-07-09,2024,7,9
149,150,2023-02-28,2023,2,28
150,151,2023-02-28,2023,2,28
151,152,2023-02-28,2023,2,28
152,153,2022-08-08,2022,8,8
153,154,2022-12-07,2022,12,7
154,155,2024-04-29,2024,4,29
155,156,2022-12-07,2022,12,7
156,157,2024-04-29,2024,4,29
157,158,2022-12-07,2022,12,7
158,159,2024-04-29,2024,4,29
159,160,2022-12-07,2022,12,7
160,161,2024-04-29,2024,4,29
161,162,2022-01-02,2022,1,2
162,163,2022-06-10,2022,6,10
163,164,2021-11-16,2021,11,16
164,165,2022-08-17,2022,8,17
165,166,2022-06-10,2022,6,10
166,167,2021-11-16,2021,11,16
167,168,2022-08-17,2022,8,17
168,169,2022-06-10,2022,6,10
169,170,2021-11-16,2021,11,16
170,171,2022-08-17,2022,8,17
171,172,2021-11-23,2021,11,23
172,173,2023-03-04,2023,3,4
173,174,2023-12-16,2023,12,16
174,175,2024-05-19,2024,5,19
175,176,2020-05-14,2020,5,14
176,177,2024-05-19,2024,5,19
177,178,2020-05-14,2020,5,14
178,179,2021-08-29,2021,8,29
179,180,2024-11-10,2024,11,10
180,181,2024-11-10,2024,11,10
181,182,2021-12-05,2021,12,5
182,183,2021-12-05,2021,12,5
183,184,2024-07-05,2024,7,5
184,185,2024-07-05,2024,7,5
185,186,2024-06-25,2024,6,25
186,187,2024-06-25,2024,6,25
187,188,2024-05-31,2024,5,31
188,189,2024-05-31,2024,5,31
189,190,2020-10-20,2020,10,20
190,191,2022-08-11,2022,8,11
191,192,2021-10-17,2021,10,17
192,193,2020-10-20,2020,10,20
193,194,2022-08-11,2022,8,11
194,195,2021-10-17,2021,10,17
195,196,2022-02-23,2022,2,23
196,197,2022-02-23,2022,2,23
197,198,2023-09-20,2023,9,20
198,199,2021-01-19,2021,1,19
199,200,2021-01-19,2021,1,19
200,201,2020-08-21,2020,8,21
201,202,2023-04-17,2023,4,17
202,203,2023-12-24,2023,12,24
203,204,2020-08-21,2020,8,21
204,205,2023-04-17,2023,4,17
205,206,2023-12-24,2023,12,24
206,207,2020-08-21,2020,8,21
207,208,2023-04-17,2023,4,17
208,209,2023-12-24,2023,12,24
209,210,2020-08-21,2020,8,21
210,211,2023-04-17,2023,4,17
211,212,2023-12-24,2023,12,24
212,213,2022-03-20,2022,3,20
213,214,2021-08-12,2021,8,12
214,215,2021-08-12,2021,8,12
215,216,2020-12-21,2020,12,21
216,217,2023-07-07,2023,7,7
217,218,2023-08-13,2023,8,13
218,219,2021-02-04,2021,2,4
219,220,2022-09-16,2022,9,16
220,221,2022-05-06,2022,5,6
221,222,2021-05-28,2021,5,28
222,223,2024-07-18,2024,7,18
223,224,2024-12-06,2024,12,6
224,225,2024-12-06,2024,12,6
225,226,2024-12-06,2024,12,6
226,227,2022-12-12,2022,12,12
227,228,2022-10-20,2022,10,20
228,229,2022-10-20,2022,10,20
229,230,2021-03-24,2021,3,24
230,231,2025-01-06,2025,1,6
231,232,2021-03-24,2021,3,24
232,233,2025-01-06,2025,1,6
233,234,2021-03-06,2021,3,6
234,235,2021-03-06,2021,3,6
235,236,2021-03-06,2021,3,6
236,237,2020-06-17,2020,6,17
237,238,2023-09-01,2023,9,1
238,239,2023-06-08,2023,6,8
239,240,2023-06-08,2023,6,8
240,241,2021-03-25,2021,3,25
241,242,2021-03-25,2021,3,25
242,243,2021-01-03,2021,1,3
243,244,2021-01-03,2021,1,3
244,245,2024-12-27,2024,12,27
245,246,2022-08-12,2022,8,12
246,247,2022-03-28,2022,3,28
247,248,2023-07-15,2023,7,15
248,249,2022-09-22,2022,9,22
249,250,2022-03-28,2022,3,28
250,251,2023-07-15,2023,7,15
251,252,2022-09-22,2022,9,22
252,253,2022-12-20,2022,12,20
253,254,2022-01-16,2022,1,16
254,255,2023-01-29,2023,1,29
255,256,2022-01-15,2022,1,15
256,257,2022-01-15,2022,1,15
257,258,2024-03-24,2024,3,24
258,259,2025-02-19,2025,2,19
259,260,2024-07-13,2024,7,13
260,261,2023-04-28,2023,4,28
261,262,2020-12-05,2020,12,5
262,263,2024-05-14,2024,5,14
263,264,2022-01-18,2022,1,18
264,265,2023-09-18,2023,9,18
265,266,2023-09-18,2023,9,18
266,267,2021-05-12,2021,5,12
267,268,2023-09-17,2023,9,17
268,269,2021-05-12,2021,5,12
269,270,2023-09-17,2023,9,17
270,271,2021-05-12,2021,5,12
271,272,2023-09-17,2023,9,17
272,273,2024-09-06,2024,9,6
273,274,2022-06-18,2022,6,18
274,275,2022-06-18,2022,6,18
275,276,2020-05-22,2020,5,22
276,277,2024-10-17,2024,10,17
277,278,2024-10-17,2024,10,17
278,279,2022-03-22,2022,3,22
279,280,2024-03-17,2024,3,17
280,281,2024-03-17,2024,3,17
281,282,2020-04-02,2020,4,2
282,283,2020-04-02,2020,4,2
283,284,2024-03-13,2024,3,13
284,285,2024-03-13,2024,3,13
285,286,2023-03-21,2023,3,21
286,287,2023-03-21,2023,3,21
287,288,2023-03-21,2023,3,21
288,289,2024-03-02,2024,3,2
289,290,2021-04-30,2021,4,30
290,291,2024-03-02,2024,3,2
291,292,2021-04-30,2021,4,30
292,293,2021-09-15,2021,9,15
293,294,2023-01-28,2023,1,28
294,295,2021-09-15,2021,9,15
295,296,2023-01-28,2023,1,28
296,297,2021-07-08,2021,7,8
297,298,2020-04-08,2020,4,8
298,299,2021-07-08,2021,7,8
299,300,2020-04-08,2020,4,8
300,301,2022-08-23,2022,8,23
301,302,2022-08-23,2022,8,23
302,303,2022-12-17,2022,12,17
303,304,2022-06-08,2022,6,8
304,305,2022-12-17,2022,12,17
305,306,2022-06-08,2022,6,8
306,307,2020-08-28,2020,8,28
307,308,2020-09-26,2020,9,26
308,309,2020-12-13,2020,12,13
309,310,2020-11-19,2020,11,19
310,311,2023-09-13,2023,9,13
311,312,2023-09-13,2023,9,13
312,313,2023-09-13,2023,9,13
313,314,2020-03-31,2020,3,31
314,315,2020-10-20,2020,10,20
315,316,2020-03-31,2020,3,31
316,317,2020-10-20,2020,10,20
317,318,2023-08-04,2023,8,4
318,319,2022-04-11,2022,4,11
319,320,2022-04-11,2022,4,11
320,321,2022-04-11,2022,4,11
321,322,2021-12-31,2021,12,31
322,323,2021-12-31,2021,12,31
323,324,2020-08-16,2020,8,16
324,325,2025-02-02,2025,2,2
325,326,2022-02-24,2022,2,24
326,327,2022-02-24,2022,2,24
327,328,2024-02-25,2024,2,25
328,329,2021-06-15,2021,6,15
329,330,2024-02-25,2024,2,25
330,331,2021-06-15,2021,6,15
331,332,2022-12-08,2022,12,8
332,333,2023-12-09,2023,12,9
333,334,2022-07-16,2022,7,16
334,335,2024-05-05,2024,5,5
335,336,2021-10-04,2021,10,4
336,337,2021-11-20,2021,11,20
337,338,2021-11-20,2021,11,20
338,339,2021-11-20,2021,11,20
339,340,2020-09-15,2020,9,15
340,341,2020-09-15,2020,9,15
341,342,2020-09-15,2020,9,15
342,343,2023-01-17,2023,1,17
343,344,2020-06-16,2020,6,16
344,345,2024-05-01,2024,5,1
345,346,2023-12-07,2023,12,7
346,347,2023-12-07,2023,12,7
347,348,2024-02-02,2024,2,2
348,349,2024-06-23,2024,6,23
349,350,2024-06-23,2024,6,23
350,351,2024-06-23,2024,6,23
351,352,2024-06-07,2024,6,7
352,353,2023-10-13,2023,10,13
353,354,2023-10-13,2023,10,13
354,355,2022-10-08,2022,10,8
355,356,2023-10-27,2023,10,27
356,357,2021-02-09,2021,2,9
357,358,2022-10-08,2022,10,8
358,359,2023-10-27,2023,10,27
359,360,2021-02-09,2021,2,9
360,361,2022-10-08,2022,10,8
361,362,2023-10-27,2023,10,27
362,363,2021-02-09,2021,2,9
363,364,2022-10-08,2022,10,8
364,365,2023-10-27,2023,10,27
365,366,2021-02-09,2021,2,9
366,367,2020-11-03,2020,11,3
367,368,2022-05-30,2022,5,30
368,369,2022-05-30,2022,5,30
369,370,2022-05-30,2022,5,30
370,371,2024-06-16,2024,6,16
371,372,2024-06-16,2024,6,16
372,373,2024-06-16,2024,6,16
373,374,2024-06-16,2024,6,16
374,375,2022-07-15,2022,7,15
375,376,2022-07-15,2022,7,15
376,377,2021-07-18,2021,7,18
377,378,2021-10-02,2021,10,2
378,379,2024-04-16,2024,4,16
379,380,2024-04-16,2024,4,16
380,381,2020-07-09,2020,7,9
381,382,2020-07-25,2020,7,25
382,383,2024-01-24,2024,1,24
383,384,2020-05-04,2020,5,4
384,385,2021-11-13,2021,11,13
385,386,2023-10-07,2023,10,7
386,387,2021-10-23,2021,10,23
387,388,2021-10-23,2021,10,23
388,389,2022-07-18,2022,7,18
389,390,2024-08-23,2024,8,23
390,391,2024-08-23,2024,8,23
391,392,2024-08-23,2024,8,23
392,393,2020-10-28,2020,10,28
393,394,2024-06-15,2024,6,15
394,395,2024-12-19,2024,12,19
395,396,2020-09-04,2020,9,4
396,397,2022-04-16,2022,4,16
397,398,2024-08-29,2024,8,29
398,399,2022-01-14,2022,1,14
399,400,2024-04-07,2024,4,7
400,401,2022-04-24,2022,4,24
401,402,2022-04-24,2022,4,24
402,403,2020-08-27,2020,8,27
