,order_id,amount,profit,quantity,order_date,product_id,customer_id,payment_id,year,month,day
0,1,9726,1275,5,2023-06-27,4,617,4,2023,June,27
1,2,9726,1275,5,2024-12-27,8,21,3,2024,December,27
2,3,9726,1275,5,2021-07-25,12,433,1,2021,July,25
3,4,4975,1330,14,2023-06-27,1,56,2,2023,June,27
4,5,4975,1330,14,2024-12-27,4,477,4,2024,December,27
5,6,4975,1330,14,2021-07-25,6,602,3,2021,July,25
6,7,1525,185,12,2024-05-11,12,126,2,2024,May,11
7,8,1525,185,12,2021-10-09,10,582,2,2021,October,9
8,9,883,117,10,2022-11-18,10,524,1,2022,November,18
9,10,8127,3551,16,2022-11-18,9,188,5,2022,November,18
10,11,2516,734,19,2023-11-12,3,283,2,2023,November,12
11,12,2975,462,14,2020-03-23,1,789,5,2020,March,23
12,13,6851,2812,1,2020-05-04,10,89,2,2020,May,4
13,14,7626,1046,15,2020-05-04,5,60,4,2020,May,4
14,15,1023,78,9,2020-05-04,12,754,3,2020,May,4
15,16,7600,1098,10,2023-11-09,3,689,4,2023,November,9
16,17,7501,262,18,2023-11-09,3,87,3,2023,November,9
17,18,725,133,6,2024-12-30,5,784,5,2024,December,30
18,19,7201,2685,2,2024-12-30,3,10,4,2024,December,30
19,20,1629,265,1,2025-02-11,2,227,3,2025,February,11
20,21,1629,265,1,2024-01-23,9,521,1,2024,January,23
21,22,8971,2971,19,2020-11-28,2,167,5,2020,November,28
22,23,2939,894,20,2020-11-28,10,383,5,2020,November,28
23,24,9380,414,11,2024-05-30,8,436,2,2024,May,30
24,25,8558,1644,18,2024-05-30,1,83,2,2024,May,30
25,26,4080,72,17,2024-05-30,9,145,4,2024,May,30
26,27,4206,1821,17,2022-01-23,10,165,4,2022,January,23
27,28,5219,1180,20,2021-12-17,2,34,5,2021,December,17
28,29,5219,1180,20,2023-02-03,9,287,1,2023,February,3
29,30,3686,760,20,2022-10-30,7,458,2,2022,October,30
30,31,3686,760,20,2022-01-15,1,132,2,2022,January,15
31,32,6045,1606,4,2023-12-14,1,134,1,2023,December,14
32,33,9337,554,11,2023-12-14,6,417,1,2023,December,14
33,34,4051,1848,12,2023-07-03,5,560,3,2023,July,3
34,35,4051,1848,12,2021-05-08,7,608,3,2021,May,8
35,36,5011,866,11,2023-07-03,5,175,5,2023,July,3
36,37,5011,866,11,2021-05-08,9,92,3,2021,May,8
37,38,3958,630,15,2022-10-07,7,330,2,2022,October,7
38,39,3132,963,1,2022-10-07,9,408,3,2022,October,7
39,40,7784,2937,12,2024-08-06,11,627,5,2024,August,6
40,41,5591,1696,3,2024-08-06,10,297,1,2024,August,6
41,42,5122,2413,12,2024-08-06,2,505,4,2024,August,6
42,43,8293,2632,8,2022-01-05,3,304,1,2022,January,5
43,44,8293,2632,8,2020-10-17,1,322,2,2020,October,17
